site_id;lon;lat;eid;sid;gmv_PGA;gmv_PGV;log_PGA;log_PGV;I_PGA;I_PGV
191.0;-2.50555;38.4776;0;191;0.01519824;0.6533449;-1.8182067016962726;-0.18485749464628679;-0.7245864376937612;4.13026144100705
192.0;-2.44811;38.4776;0;192;0.003878762;1.356462;-2.4113068677981815;0.13240763191886756;-1.701422411263605;4.634395727119081
193.0;-2.39067;38.4776;0;193;0.003962983;1.075109;-2.401977790653958;0.0314524974597713;-1.6860574212070687;4.473978018463577
194.0;-2.33323;38.4776;0;194;0.008054915;1.271491;-2.0939390381405714;0.10431329045418114;-1.178717595817521;4.589753818531694
195.0;-2.27579;38.4776;0;195;0.005548156;3.161604;-2.25585133617361;0.4999074723688286;-1.4453871506779357;5.353252858697141
196.0;-2.21835;38.4776;0;196;0.01224245;0.6901856;-1.9121316610298535;-0.16103410604971724;-0.8792808457161687;4.168116805486999
197.0;-2.16091;38.4776;0;197;0.004299606;1.873586;-2.3665713397380106;0.2726736325609828;-1.6277429965485033;4.857278402139402
198.0;-2.10348;38.4776;0;198;0.005974177;1.919761;-2.223721914476358;0.283247164723365;-1.3924699931425617;4.874079744745427
199.0;-2.04604;38.4776;0;199;0.00428675;3.668336;-2.3678718434747603;0.5644691078766186;-1.6298849262029305;5.525696987138448
200.0;-1.9886;38.4776;0;200;0.003498946;1.569905;-2.456062760027237;0.19587337264867197;-1.7751353657648594;4.7352427891387405
201.0;-1.93116;38.4776;0;201;0.008095249;1.865881;-2.0917697883358253;0.27088394236260416;-1.1751448413891041;4.854434584414179
202.0;-1.87372;38.4776;0;202;0.006592332;4.587789;-2.180960929020707;0.6616034357673953;-1.3220426500971043;5.785142776934713
203.0;-1.81628;38.4776;0;203;0.004721595;0.5428534;-2.325911267746174;-0.265317437753934;-1.5607758579779487;4.002410591408999
204.0;-1.75884;38.4776;0;204;0.009251114;1.296993;-2.0338059672693642;0.11293763215996518;-1.079678428092643;4.603457897502185
